KH_ID,GioiTinh,QueQuan,NamHocThu,ChuyenNganh,NgheNghiepGiaDinh,ChiTieuHangThang,ThoiGianSuDung,MucDichSuDungLaptop,MucDoHaiLong,YeuToThuongHieuSP,YeuToCauHinh,YeuToTocDoXuLy,YeuToGia,YeuToThietKe,YeuToUyTinNhaBanle,YeuToBaoMat,YeuToBaoHanh,YeuToKhuyenMai
CTM87103,Nữ,Kon Tum,Năm 4,Luật,Nông dân,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,4,4,4,3,3,5,5,5
CTM87232,Nữ,Nghệ An,Năm 3,Quan hệ công chúng,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,3,4,4,3,4,2
CTM87381,Nữ,Kon Tum,Năm 4,Ngoại thương,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,5,5,4,4,3,5,5,5
CTM87386,Nữ,Hà Tĩnh,Năm 3,Truyền thông Marketing,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Học tập,5,5,3,3,4,5,2,2,4,4
CTM87494,Nam,Kon Tum,Năm 4,Quản trị dịch vụ du lịch và lữ hành,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",3,2,3,3,4,5,4,2,3,4
CTM87829,Nữ,Đắk Nông,Năm 1,Truyền thông Marketing,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,Học tập,4,3,5,5,4,3,4,3,4,3
CTM87883,Nữ,Thừa Thiên Huế,Năm 1,Quản trị khách sạn,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,3,3,3,4,4,5,2,4,5
CTM87979,Nữ,Gia Lai,Năm 2,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,3,4,3,2,3,4,4,5
CTM88191,Nữ,Bình Định,Năm 1,Quản trị khách sạn,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Chơi game,3,4,4,4,4,4,4,4,4,4
CTM88214,Nữ,Gia Lai,Năm 3,Quản trị dịch vụ du lịch và lữ hành,Nông dân,Dưới 1.500.000,Từ 1 năm đến 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,4,4,4,4,4,4,4,4
CTM88236,Nữ,Hà Nội,Năm 2,Thương mại điện tử,Nông dân,Dưới 1.500.000,Từ 1 năm đến 2 năm,Học tập,4,4,3,4,3,2,3,2,3,4
CTM8834,Nam,Quảng Bình,Năm 3,Luật kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,2,2,4,4,4,2,4,4
CTM88476,Nữ,Quảng Trị,Năm 4,Quan hệ công chúng,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,5,5,4,4,5,5
CTM88580,Nữ,Bình Định,Năm 1,Quản trị khách sạn,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Chơi game,2,4,4,4,4,4,4,4,4,4
CTM88595,Nữ,Thừa Thiên Huế,Năm 4,Thương mại điện tử,Nhân viên văn phòng,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web), Khác",3,4,4,5,3,4,3,3,4,3
CTM88643,Nữ,Bình Định,Năm 2,Quản trị Marketing,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Học tập,4,4,4,4,4,4,4,4,4,4
CTM8865,Nam,Bình Định,Năm 1,Khoa học dữ liệu,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,3,4,3,4,3,3,4,4
CTM88913,Nam,Đắk Nông,Năm 2,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,4,3,2,4,3,4,3,2
CTM89377,Nữ,Hà Nội,Năm 2,Ngân hàng,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,3,2,3,3,5,1,3,1,4,5
CTM89440,Nữ,Bình Định,Năm 4,Ngoại thương,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,Học tập,5,4,4,3,4,4,4,4,4,4
CTM89458,Nữ,Nghệ An,Năm 2,Quan hệ công chúng,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,5,5,2,3,4,5,4,2,4,5
CTM89648,Nam,Thừa Thiên Huế,Năm 2,Ngoại thương,Kinh doanh tự do,Trên 5.000.000,Từ 1 năm đến 2 năm,Học tập,4,4,3,4,3,5,4,5,4,3
CTM89655,Nữ,Hồ Chí Minh,Năm 2,Ngoại thương,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc",3,3,2,3,3,5,4,3,3,4
CTM89821,Nữ,Hồ Chí Minh,Năm 3,Thương mại,Nhân viên văn phòng,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",2,3,2,3,4,5,4,2,2,2
CTM89824,Nữ,Quảng Ngãi,Năm 2,Thương mại điện tử,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,5,2,3,4,4,2,3,3,4,4
CTM89943,Nam,Thừa Thiên Huế,Năm 1,Thương mại điện tử,Nông dân,Dưới 1.500.000,Dưới 6 tháng,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,5,5,5,2,5,5,5,5
CTM89949,Nữ,Đắk Lắk,Năm 2,Tài chính doanh nghiệp,Nông dân,Dưới 1.500.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web), Khác",5,5,5,5,5,5,5,5,5,5
CTM89980,Nữ,Đắk Lắk,Năm 3,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,3,4,3,2,4,2,4,5
CTM89990,Nữ,Hà Nội,Năm 1,Thương mại,Nông dân,Dưới 1.500.000,Dưới 6 tháng,Học tập,4,2,3,3,4,3,5,3,5,4
CTM90048,Nữ,Quảng Bình,Năm 4,Kế toán,Nông dân,Dưới 1.500.000,Từ 1 năm đến 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",3,2,2,3,4,5,3,2,4,4
CTM90255,Nữ,Hồ Chí Minh,Năm 4,Ngoại thương,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Học tập,4,4,4,4,4,4,4,4,4,3
CTM9050,Nam,Thanh Hóa,Năm 1,Kiểm toán,Nông dân,Dưới 1.500.000,Dưới 6 tháng,Học tập,4,4,2,3,4,4,4,2,3,4
CTM90500,Nữ,Đắk Nông,Năm 2,Tài chính doanh nghiệp,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,5,3,3,5,2,3,1,4,5
CTM90606,Nữ,Quảng Bình,Năm 4,Quản lý nhà nước,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,4,2,3,5,2,2,2,4,4
CTM90613,Nam,Đắk Lắk,Năm 4,Quản trị Marketing,Kinh doanh tự do,Trên 5.000.000,Dưới 6 tháng,Học tập,5,2,1,3,2,3,2,2,1,2
CTM90615,Nữ,Hà Tĩnh,Năm 3,Kế toán,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",5,4,4,5,3,3,5,5,5,3
CTM90687,Nam,Gia Lai,Năm 4,Luật,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,5,5,4,4,3,4,4,4
CTM90686,Nam,Quảng Bình,Năm 3,Hệ thống thông tin quản lý,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Làm việc, Chơi game",4,3,5,5,4,3,4,3,4,4
CTM90688,Nam,Thừa Thiên Huế,Năm 4,Thương mại,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",2,2,4,4,2,3,2,4,4,5
CTM90696,Nữ,Quảng Bình,Năm 3,Luật kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",2,5,3,3,4,2,2,2,3,4
CTM90745,Nữ,Hồ Chí Minh,Năm 3,Quản trị kinh doanh,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,3,5,5,3,4,4,3,5,3
